"idEquipement","element","disponible","service","panne","obsolete","nonService","reparation"
"39","Chaine elisa","MjOPAjxGLvF","GBGsyij88G9","tVFTNgg55Fj","DLh2T7srdqN","LEbeB2GsIx1","kCbDIeQnvMd"
"40","Champ visuel","KhnfPqEKj2k","U6On47D5TwO","rEVYjZeLkJU","xAHRKYqvVho","cAS7TKA54Y9","X3FRssylX6G"
"41","Colonne (d'endoscope,celioscope )","PX7bBJK9ZvE","XXt00GPFQi6","VwEYqKvNXBT","b5FQEseXwYp","UfTZVkOcRPO","AdLL9BnKabD"
"42","Colposcope","TIzdzLD7oYL","AC4BOl2snrC","Kj7awofZqtB","cQdYSX2epkF","Iuw2dqU96WE","oGYcYXAfGtu"
"43","Compresseur d'air médical","ylFzJO77RFq","wSHWCD81ChY","aGGBjI29car","jnTbcIxHysM","HVCZS6Iars7","qncFA8lBIP7"
"44","Concentrateur d'oxygène","Aq7ti2KLUDk","IbOKjjup9Iu","qwD9p13LQAv","Pp98PqcdTQL","kiOGQ3Ni102","ojdBspLpbRY"
"45","Congélateur médical","AY4v5nLZS7R","VyfM14W3i6u","H7mIHTnYYGE","cdKUTHg1MM0","ewOASNvasii","hVVst2BaMm4"
"46","Couveuse","BVxS5agj5ES","JbkHi7EwWYF","rhgvUdzALxi","mY9v1oxNUcJ","mDDvnXTMGR3","w68GvSyRhIU"
"47","CPAP","WuKF2pY5jeo","dhi2PnUu6Rm","enS5wCvwhwG","gJvDPI2hsEF","HweshpV2qKc","UmML1oEjU7I"
"48","Défibrillateur","ay4xoNFSEhC","MqRu6z6FUIN","jG0Pr1tGWN9","dTnxY2INlqr","Ee8mKNC56GG","EW182B3zdPo"
"49","Dermatome","gmAVeJAoslI","nT92VpfIjNm","snVXQmdQhjD","IojxeSD3RaG","IKgEWRyYWvI","MVhKoUs9nJt"
"50","Dermoscope","xh8c0VY5Qxt","u1sljJRLhXL","kLHA1cgIkON","jW5tR5927hN","ZplpO3zB1lv","WeiMkhxI7iM"
"51","Détartreur","S1Y4pjK65U6","XIiFq9BclDh","Px4U9Npd5am","bfT8w0YiOW4","N65ZEwOZ8aZ","PR556bFSlOR"
"52","Détecteur de pouls fœtal","z1D1vOFq2yE","jSdxeSgCTZC","c1L3cVm3zuC","As3Dewy9g6q","YEL12bhxO0F","iF0b75LdpoA"
"53","Détecteur de veine","qmpWsVUJu6G","q0dwk1XsL5x","Z9tpO7ognIp","MvHLOoixNgZ","uRbt3aMzD78","kuMJ1BNadAx"
"54","Dispositif de traitement de l'eau de dialyse","iQg3htpogWC","UiH4AxTB4oc","CA31qrOzN9w","qSOiXBoaXfZ","wh4lJdwyU3U","RjBCVa45nhX"
"55","Distillateur","jyU5RU4PpSs","hOloIbDM4Mz","QyURhRCThDQ","m4Lb7jvgxDS","drDN5LurPwY","hHE5y8JO6HI"
"56","Distributeur de disque antibiogramme","SbvZYmmbSaq","upflkqckdWY","YX3enDV1CRN","RCJ7Anrrehj","DYWpuNO7VDY","C6YWP1DQQ8P"
"57","Dosimètre","N3n8xF2aJpE","Spxrf8n9euJ","YV4tfwEWsj6","cZSjdOK2drb","oHdPpJqvaGf","Evd0h55rmeM"
"58","Échelle d'acuité visuel","y5VmS2murCf","Jao836cFxLl","vCnDUvSWIs0","oqnF8P3VMzh","UiFvFQicJ2G","Hi6xAqnovUH"
"59","Échographe","o7khqhQVvDF","AglwVJyYQbh","L1WWpFqNBVP","glVeZ1KGxXG","v674sRB8eo8","kBnCdIn7Yai"
"60","Éclairage opératoire (mobile, plafonnier","Kl92vUB9MZ3","cXCDLXRboj7","TCltSLm0A7w","TMEKGhb6XBT","up6qkdwi1ue","u0QqtJHHxgV"
"61","Électrocardiographe","zT9gXWIdozy","gC2cxO5yA52","mh0ZEycK8Bd","yiyPYKAulGk","xRYx9uBxdR2","fBaV9ACPL7N"
"62","Électroencéphalographe","qPOtTjUcoR8","g06TD8B74lv","aWY7PBihx9M","oXq3sExgrqV","cRUWdnu7730","zMVhnHbaSuU"
"63","Électromyographie","Pcq2Eh3W5Um","YMEt2J56qu2","rJDSO2Oi7MC","jeH45EzlSKN","ikhwMEiTB5Y","MsXn86tNmAZ"
"64","Epreuve d'effort","bjjGc0NOtX9","jTHZNLgcat2","sVpI6sSBTHs","oWKi8XAqjW4","axb7WchZ7bC","kZbkQXSsTGZ"
"65","Etuve","YyBnVpRoqWp","Na8jel39u0Y","TZxjOomRZsy","DxLdG2HCA4o","kHsXFLFiNKp","uTmWuxhB18N"
"66","Fauteuil dentaire","iz1zZlhFRU7","vzcwKwNebsk","NPTdXxPo8oz","O8nmCoKn9BU","vnIFI1fTUnk","tPuWZk24wd0"
"67","Fauteuil ORL","yclJ1qhvcYs","KKMfpTyb3Et","b6f1BhrHx8P","wfTi7gEhAcV","sMO0pTMXlF1","ahdIUXI6IT7"
"68","Frontofocomètre","GykUaLTaTA8","wL07T4dz2wO","Kyr27rvirJe","O98AWBjuB8k","wurVeNwdFEz","ZXQxTrI6j5w"
"69","Générateur d'oxygène","AglDJCtqu6G","N1lwB0PW5sp","HbAT4UQGNB2","IHqpSoaZJ4t","m0rboxiPiXD","HbNcttk1VyP"
"70","Générateur de dialyse","wWDsjHtzgYn","a6YPi2dawQM","BHCzwD0FcvF","aqucaVvutKm","UtdOz7HFZLd","qLqLkTObmJH"
"71","Générateur de radiofréquence","IuNpC4lnwFY","eUF8518cA1L","gqtEE6lZGtb","zjjTBQHaW1d","fXCmVY7zzCv","m7Na68C0eZI"
"72","Glucomètre","CVSU8ppf1f3","qjOYA192qYG","SLLsh2Q2wkR","lxMQVjZalV0","a5azn20rNTx","NnsbZgUeXS5"
"73","Hémoglobinomètre","yThgz0Oes5P","Et3o1nrIUQe","cuoaoKNSFJ9","oAhHONLBuyL","odAq6hsLEAJ","vvtAia7uHcQ"
"74","Hémoleucomètre","Pzsu8lfDOB4","DbT1yGwZccZ","bZsU2ZqMxaF","xWPl60k6y9Y","UV27OaBjyJH","VkszoTQdLov"
"75","Histokinette","ZaXylJ2NEmA","ldnnWg0EKBC","IiCwiHXo5aX","XFt5UP8sokB","CssECZ7UlsT","t1fGyQUxmCj"
"76","Hotte","tFswJLVDeYl","k1p2GXKOOLr","te2GOaMCeK2","AaqvfTeFhMC","q2UHVxvbPql","D6576Y2e9Qc"
"77","Incinérateur","ZBqsZnpffEj","OhYhFu6qjfL","MonTFuYA5bb","Y4EDzNq86Zu","XchLeMmj8eC","I7PDJ326rxL"
"78","Insuflateur manuel","Ru3tcrmVQ3x","uqcy9DyYErB","JnV7GtoQErr","vo6GqhwoW6w","oYJHgLZDv9Q","XS8mKJTh11G"
"79","IRM","OcCbIxfF8E7","HGNYxr1HQdQ","e7AIj0HkkP0","tIREmF2S1CG","hZktIDxD8rM","y7pjWbLAnJi"
"80","Lampe à fente","LgDlKiCiCqX","WxmQLvVwRA3","TmmINt7qLsd","fOiamDCbI09","tdA9antwYwV","dHM8w7Wbxo5"
"81","Lampe à infrarouge","jiSZKA475VP","Nu6FVIAwJBi","T0mBe12DAyI","mUMx6d2wijN","Haw6xSPchng","KWurvSXD9Cw"
"82","Lampe d'examen","ox3wAqTkH59","ETNSuRHdj07","BD5aB4525Rc","aLXVJ3isGY0","Y1pFEMxNabJ","vjCXdKym93T"
"83","Lampe de photothérapie","I6ofnSgw6uf","EdAVLKPgbsc","MMEFIkuWRmz","hwxRMHicQuL","sMarjsT8taP","g8NnuqLtgY5"
"84","Lampe de Wood","QImQw9jRAbo","TAaemJ99glR","inisL2EgncO","vK9HodJ7InY","P3xHrZAAr5z","Xj0hXmQ7NVB"
"85","Lampe inactinique","EkTlC2f0hNA","Ed4iZzLbFcT","pKCTISiRdSy","tAvY5Hv6pey","Ib3pCwLr3FW","lVnsrrkSPxC"
"86","Lampe UV","fw5Q1H3Bfda","PhkRNCkSO48","Jh1PMM0ZI1V","raPZyXYZpM7","ocBzwf1w5Do","tnmPXXyaQbm"
"87","Laryngoscope","HG7UF9z9eud","MZJ8G0oPcfo","GykRK6P2q1a","JKEY5hw1W2s","U7iriGK59BP","gofG6LcIOHc"
"88","Laser dermatologique","ZIecT2n9IGe","wjgUXL8pM3m","wELeM7QhfMQ","uCMpbu5y8P9","OJYpOMaBqIo","NtLp3QNZPsj"
"89","Laser yag","T92sqNOSBeu","sjV8L1D0OMz","oDPt9rsdwjn","YTGKUtsYJue","AF2VXRy9xbf","sJmuexrA07w"
"90","Lavabo hyperaseptique","BYCKZdI7EQq","fz24VhMLfBw","p6jiWxWoMpS","wtGo34sb7FP","u4sgDYIjz87","LUEp2p77GB5"
"91","Laveur d'instruments","ddA0Wz8f1Pj","bpBIQJAxZqy","E3E9dSiLyZG","tjCmaNAGgpI","m7PxEb64zG9","SGp6KpHbY8T"
"92","Mammographe","LHmWj8nWp5p","K8XViubS8lW","zfWt5tkrrvQ","oe7SelpH5qW","r2jBE13gPmx","rHJhUSfutgT"
"93","Manodétendeur","ewaTCa8KV3O","iXczHR2n21w","WXwadBYRMCv","qt6VMjEA4mf","Qejx5AnFzda","PVJ5yVWQIb9"
"94","Mapa","mTsD697TRyd","i2ZeXYaCYEp","KtzwF7RG0ln","arNiJ3qvGd0","m0GbHd3NI13","vwhC7R9CMEm"
"95","Marteau reflexe","YlhKSADTLOn","bnKeYP8rxxd","KKyHunZVShz","FfRpX2bAZVQ","R1J9t6cLGlB","egTAjylNqdz"
